Match Number,Round Number,Date,Location,Home Team,Away Team,Result
9,1,07/08/2022 13:00,Old Trafford,Man Utd,Brighton,1 - 2
13,2,13/08/2022 16:30,Brentford Community Stadium,Brentford,Man Utd,4 - 0
27,3,22/08/2022 19:00,Old Trafford,Man Utd,Liverpool,2 - 1
39,4,27/08/2022 11:30,St. Mary's Stadium,Southampton,Man Utd,0 - 1
45,5,01/09/2022 19:00,King Power Stadium,Leicester,Man Utd,0 - 1
56,6,04/09/2022 15:30,Old Trafford,Man Utd,Arsenal,3 - 1
63,7,19/01/2023 07:00,Selhurst Park,Crystal Palace,Man Utd,1 - 1
76,8,08/02/2023 20:00,Old Trafford,Man Utd,Leeds,2 - 2
88,9,02/10/2022 13:00,Etihad Stadium,Man City,Man Utd,6 - 3
96,10,09/10/2022 18:00,Goodison Park,Everton,Man Utd,1 - 2
107,11,16/10/2022 13:00,Old Trafford,Man Utd,Newcastle,0 - 0
120,12,19/10/2022 19:15,Old Trafford,Man Utd,Spurs,2 - 0
122,13,22/10/2022 16:30,Stamford Bridge,Chelsea,Man Utd,1 - 1
139,14,30/10/2022 16:15,Old Trafford,Man Utd,West Ham,1 - 0
141,15,06/11/2022 14:00,Villa Park,Aston Villa,Man Utd,3 - 1
153,16,13/11/2022 16:30,Craven Cottage,Fulham,Man Utd,1 - 2
169,17,27/12/2022 20:00,Old Trafford,Man Utd,Nottingham Forest,3 - 0
180,18,31/12/2022 12:30,Molineux Stadium,Wolves,Man Utd,0 - 1
189,19,03/01/2023 20:00,Old Trafford,Man Utd,Bournemouth,3 - 0
196,20,14/01/2023 12:30,Old Trafford,Man Utd,Man City,2 - 1
202,21,22/01/2023 16:30,Emirates Stadium,Arsenal,Man Utd,3 - 2
216,22,04/02/2023 15:00,Old Trafford,Man Utd,Crystal Palace,2 - 1
225,23,12/02/2023 14:00,Elland Road,Leeds,Man Utd,0 - 2
236,24,19/02/2023 14:00,Old Trafford,Man Utd,Leicester,3 - 0
247,25,05/04/2023 19:00,Old Trafford,Man Utd,Brentford,1 - 0
256,26,05/03/2023 16:30,Anfield,Liverpool,Man Utd,7 - 0
267,27,12/03/2023 14:00,Old Trafford,Man Utd,Southampton,0 - 0
274,28,04/05/2023 19:00,Amex Stadium,Brighton,Man Utd,1 - 0
288,29,02/04/2023 15:30,St. James' Park,Newcastle,Man Utd,2 - 0
297,30,08/04/2023 11:30,Old Trafford,Man Utd,Everton,2 - 0
306,31,16/04/2023 15:30,The City Ground,Nottingham Forest,Man Utd,0 - 2
319,32,25/05/2023 19:00,Old Trafford,Man Utd,Chelsea,4 - 1
324,33,27/04/2023 19:15,Tottenham Hotspur Stadium,Spurs,Man Utd,2 - 2
339,34,30/04/2023 13:00,Old Trafford,Man Utd,Aston Villa,1 - 0
349,35,07/05/2023 18:00,London Stadium,West Ham,Man Utd,1 - 0
359,36,13/05/2023 14:00,Old Trafford,Man Utd,Wolves,2 - 0
361,37,20/05/2023 14:00,Vitality Stadium,Bournemouth,Man Utd,0 - 1
379,38,28/05/2023 15:30,Old Trafford,Man Utd,Fulham,2 - 1
